,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
504,無子葡萄,2,GB0011,12,0.5736852362,G
505,葡萄柚,66,GB0012,8,0.3373372953,G
506,香蕉,712,GB0013,12,0.9487080296,G
507,西瓜,52,GB0014,8,0.5187375964,G
508,木瓜,53,GB0015,12,0.27,G
509,香瓜,13,GB0016,12,0.3184668971,G
510,哈密瓜,54,GB0017,3,0.3139481535,G
511,桃子,181,GB0018,3,0.48,G
512,甜桃,15,GB0019,12,0.48,G
513,脆桃,1,GB0020,12,0.48,G
514,黃桃,2,GB0021,12,0.555,G
515,李子,16,GB0022,6,0.3621897754,G
516,加州李,7,GB0023,12,0.3621897754,G
517,小番茄,918,GB0024,4,0.1342932099,G
518,蘋果,1160,GB0025,4,0.4858080808,G
519,青蘋果,36,GB0026,12,0.4858080808,G
520,蓮霧,19,GB0027,8,0.3227831786,G
521,柳橙,416,GB0028,3,0.4479860388,G
522,橙橘,2,GB0029,12,0.3479860388,G
523,橘子,154,GB0030,3,0.3230467883,G
524,鳳梨,746,GB0031,8,0.2920533135,G
525,釋迦,2,GB0032,8,1.045067155,G
526,荔枝,36,GB0033,3,0.5960325897,G
527,龍眼,128,GB0034,4,0.72,G
528,棗子,33,GB0035,8,0.3039765872,G
529,草莓,1317,GB0036,4,0.3,G
530,藍莓,309,GB0037,12,0.6922222222,G
531,蔓越莓,365,GB0038,12,0.46,G
532,櫻桃,199,GB0039,3,0.5185704822,G
533,楊桃,21,GB0040,12,0.2947928905,G
534,山竹,NA,GB0041,12,0.4594805195,G
535,檸檬,1358,GB0042,8,0.3261823751,G
536,檸檬葉,130,GB0044,12,0.3261823751,G
537,萊姆,157,GB0045,12,0.3,G
538,甘蔗,44,GB0046,8,0.4930769231,G
539,甘蔗渣,1,GB0047,12,0.4930769231,G
540,枇杷,3,GB0048,9,0.4301994907,G
541,椰子,41,GB0049,2,2.103263158,G
542,椰纖,1,GB0050,12,3.01,G
543,榴槤,7,GB0051,12,1.507051672,G
544,蛋黃果,3,GB0052,2,0.885,G
545,番石榴,46,GB0053,12,0.5740009818,G
546,紅毛丹,4,GB0054,12,0.7206321839,G
547,龍鳳果,2,GB0055,12,0.8,G
548,嘉寶瓜,NA,GB0056,12,0.43,G
549,百香果,184,GB0057,10,0.66,G
550,奇異果,491,GB0058,12,0.4952280329,G
551,梅子,128,GB0059,3,0.33,G
552,烏梅,14,GB0060,12,2.19,G
553,金桔,136,GB0061,3,0.54,G
554,柑桔,20,GB0062,12,0.415,G
555,桔皮,16,GB0063,12,0.415,G
556,火龍果,82,GB0064,8,0.4996666667,G
557,桑葚,61,GB0065,3,0.4927272727,G
558,覆盆子,126,GB0066,12,0.638,G
