,RcpNo,Rcp_ingreCal,RcpName
484,I00486,988.878314553,有點小優雅的PARTY~希臘酸甜蔬果匯
485,I00487,479.335904553,蒜味南瓜濃湯
486,I00488,316.343723058,醬燒富貴紅蝦
487,I00489,2194.66223947,步步高升
488,I00490,483.160352262,花開富貴
489,I00491,881.6751685,南瓜蟹肉濃湯~~黃澄澄的幸福溫暖!!
490,I00492,360.633740871,香蔥肉鬆烘蛋捲
491,I00493,9.387203541,麻婆肉碎拌津白
492,I00494,1366.37452605,高麗菜炒回鍋肉
493,I00495,2385.42154812,海味鮮蚵丼飯
494,I00496,153.9941616,鮪魚蛋沙拉
495,I00497,841.466409256,柚子味僧炆排骨
496,I00498,2458.04430984,培根迷你馬鈴薯捲
497,I00499,83.2401267514,蔥爆花枝
498,I00500,1102.82643752,紅酒燉牛肉
499,I00501,4.238338491,黑Q黃瓜花生夾心餅
500,I00502,785.954023037,鄉村番茄羅宋湯
501,I00503,103.8888889,香煎雞腿排
502,I00504,678.437526776,地瓜蘋果酥
503,I00505,571.701380257,藜麥蒟蒻蔬食褒飯
504,I00506,69.9783333232,雲耳燴三彩
505,I00507,452.842440857,果醋沙拉
506,I00508,733.367281855,臘肉炒蒜苗
507,I00509,319.465409835,手作草莓果醬
508,I00510,602.23192355,蘸汁木魚茄子
509,I00511,4119.79116048,蒜苗地瓜燉豬肉
510,I00512,548.689517986,茄汁明蝦
511,I00513,894.4277873,蟹黃鮮蝦丸
512,I00514,378.453186292,天使紅蝦三吃 之 乾煎
513,I00515,954.828562665,高昇排骨
514,I00516,435.10325634,涼拌蘿蔔絲
515,I00517,125.16078432,天使紅蝦三吃 之 赤身
516,I00518,816.01169592,迷迭香烤地瓜
517,I00519,1517.97980773,川味紅燒牛肉麵
518,I00520,909.54762917,核桃南瓜薯泥
519,I00521,599.017342203,泰式打拋豬
520,I00522,929.523647502,草莓果醬
521,I00523,2117.93425445,香蕉巧克力全麥塔
522,I00524,947.069321959,椰奶咖哩蝦
523,I00525,483.171356568,蒜泥白肉
524,I00526,1025.41118868,地瓜餅
525,I00527,55.6001910784,香煎脆皮雞腿排
